id	qid1	qid2	question1	question2	is_duplicate
3057	6061	6062	Can extend my J1 visa with an Optional Practice Training?	Is a Master's in Systems, Control and Robotics at KTH Stockholm, a good choice if one has a BSc in Mechanical Engineering?	0
3058	6063	6064	Which is best mobile under 15000?	Which is the best phone below 15000?	1
3059	6065	6066	What is living in Wyoming like?	What's the capital of Wyoming?	0
3060	6067	6068	What are best practices for deeply nested components with React and Redux?	Where I will get the full fledged example of React-Redux?	0
3061	6069	6070	How can anyone increase height?	Which exercise type help you to increase your height?	1
3062	6071	6072	How do you describe a poor and a rich person?	How can you tell a rich person from a greedy rich person?	0
3063	6073	6074	Do schools kill creativity?	Does education kills creativity?	1
3064	6075	6076	What are good methods to study engineering?	What is the best method of studying?	0
3065	6077	6078	Are humans truly from another planet?	Could the human race have originated from another planet?	1
3066	6079	6080	Now that Donald Trump is President, will international students stop coming to US universities?	Should I (a prospective Indian student) stop applying to universities in the USA, now that Donald Trump has become the president?	1
3067	6081	6082	Why is diversity good?	Why is diversity a good thing?	1
3068	6083	6084	What is backend process?	What is a backend?	0
3069	6085	6086	What supplements can help me build muscle and burn fat?	What is a good way to burn fat while building muscle?	0
3070	6087	6088	Is the lift on ban of Jallikattu (Tamil Nadu's bull taming sport) justified?	What's so special about tamil nadu alanganallur jallikattu?	0
3071	6089	6090	Neurotypical perceptions of a English rapper with Autism considering their difficulties?	What percent of people with autism are severely disabled?	0
3072	6091	6092	What are the meal plans for the Dr.Moreno's 17 day diet?	What diet should we follow if we go to the gym?	0
3073	6093	6094	How do I improve my aptitude and thinking skills?	How do I improve my thinking?	0
3074	6095	6096	What is the best workflow for using Adobe Fireworks for iPhone Retina UI Design?	Who is the best UI/UX design studio?	0
3075	6097	6098	Is the use of the phrase 'pass out' to mean 'graduate' correct? If correct, is it common?	"Which phrase ""You and me"" or ""You and I"" is used more commonly and which one is correct without using a full sentence?"	0
3076	6099	6100	I'm 18. How can I make money online?	What is the easiest way to earn money from online?	1
3077	6101	6102	Form where videos of sites like trainsignal, cbt nuggets etc can be downloaded (excluding torrent) for free?	What is the best time to invest in real estate market after demonetisation?	0
3078	6103	6104	How do I get meth out of my system from smoking it instantly?	So how can I get meth to be flush out of body in 2 hours before a urine drug test?	1
3079	6105	6106	What is the saddest thing you have ever seen on the internet?	What is the saddest thing you've ever seen?	0
3080	6107	6108	I know C and Java. Is C++ worth learning?	How do I learn C++ if I only know Java?	0
3081	6109	6110	What are some mind-blowing technology tools that most people don't know about?	What are some mind blowing technology gadgets that most people don't know?	1
3082	6111	6112	How can I find a job in web development?	What's the best way to find a job as a web developer?	0
3083	6113	6114	How should I prepare for the KVPY SA interview?	How do I prepare for KVPY sa interview?	1
3084	6115	6116	How do I overcome social anxiety in public places?	How do I overcome Social Anxiety?Please help.	1
3085	6117	6118	How can I know if my boyfriend is using dating apps?	How can I find out whether my partner is using dating sites?	1
3086	6119	6120	How do I gain weight in naturally way?	What should I do to gain some weight?	1
3087	6121	6122	What you guys think about ecommerce ecosystem of kerala?	How much vitamin A in IU or retinol does horse liver contain?	0
3088	6123	6124	Would strobe lights in a strange pattern in a dark hallway work at preventing and disorientating a school shooter?	would strobe lights in a dark hallway of a school be effective against a school shooter?  	1
3089	6125	6126	What is the Logic behind RAC (Reservation Against Cancellation) Seats in Indian Railways, when there already is a system of waitlisted tickets?	How much time does it take a ticket to transition from RAC (reservation against cancellation) status to confirmed status?	0
3090	6127	6128	I have an intracluster correlation matrix, symmetric matrix capturing correlation between clusters (based on k means). What is a nice way to represent these clusters graphically using this matrix and the post intra-cluster correlation of each variable?	"How can we choose a ""good"" K for K-means clustering?"	0
3091	6129	6130	Why is POP called plaster of PARIS?	Why is plaster of Paris called plaster of Paris?	1
3092	6131	6132	Are there any universities that teach film production to people who have no filmmaking experience?	Are there any programs in the valley that teach teenagers programming for teenagers who don't want to go to university?	0
3093	6133	6134	What would happen if you dropped a marble size object, that happens to be heated to 1,000,000 Celsius, into the middle of the ocean?	Why do some people view death as fear provoking while others do not?	0
3094	6135	6136	What are some of the best examples of sarcasm?	Which is the best example of Sarcasm?	1
3095	6137	6138	Why is liberal arts education considered to be bad?	Why is liberal arts education bad?	1
3096	6139	6140	How much does Hanes charge for shipping?	Where in the US are Hanes shirts sold?	0
3097	6141	6142	What it takes to be a successful entrepreneur?	Can anyone be an entrepreneur? What does it take?	1
3098	6143	6144	What would you do if you accidentally landed on a site with child pornography? Would you contact the Police? If yes, Why would you do it?	Do you think Egyptian government still hides information on their Pyramids? If yes, why and what would be the outcome if they didn't?	0
3099	6145	6146	What are key exceptions to doctor-patient confidentiality?	Are doctors ever hesitant to heal a patient?	0
3100	6147	6148	Which book should i use for JEE  organic chemistry?	Which book should I use for JEE organic chemistry?	1
3101	6149	6150	What hotel in Pelling Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	What hotel in Lachung Hill-station would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	0
3102	6151	6152	What is the best company for trading?	What is the best company for trading in malaysia?	0
3103	6153	6154	What is formal theory?	What is formalism?	0
3104	6155	6156	How do you get a new Straight Talk phone number?	How do you change a phone number through Straight Talk?	0
3105	6157	6158	Why did Germany use inverted engines for most of their air craft during the Second World War?	What civil planes were used during World War II?	0
3106	6159	6160	Which is the best sitcom: the Big Bang Theory, HIMYM or Friends?	Which other sitcoms you should watch if you loved The Big Bang Theory and F.R.I.E.N.D.S.?	0
3107	6161	6162	What are the greatest quotes from the Mahabharata and Gita?	What can we learn from the Mahabharata?	0
3108	6163	6164	What makes life difficult?	How and why did you make your life difficult?	0
3109	6165	6166	How has the profession of nursing changed in the past century?	I am 13 and can't meet my bathroom needs. It gets very noticeable and I must wear diapers and go to the nurse to get changed daily. How can I stop?	0
3110	6167	6168	What is the use of nested loops?	How do nested loops work?	1
3111	6169	6170	What has Scott Forstall contributed to Apple?	What is Scott Forstall like in person?	0
3112	6171	6100	How can we earn money online without investment?	What is the easiest way to earn money from online?	1
3113	6172	6173	Is there any loopholes in Drishyam movie?	How would you have caught Ajay Devgan if you were police in the movie, Drishyam (2015)?	0
3114	6174	6175	What is the salary of highest paid government job in India?	Who is the highest paid teacher in India? Why?	0
3115	6176	6177	What is the best place to meet hot women in San Francisco?	Where  is the best place in San Francisco to meet other 30-55 year old women?	0
3116	6178	6179	What kind of a job can a mechatronics engineer expect after graduation?	What kind of a job does a person get after it engineering?	0
3117	6180	6181	Why doesn't IndiGo airlines have a loyalty/frequent flyer program like other airlines?	Why does the Indigo Airlines flight crew mention the city of residence of its crew members? I haven’t heard any other airline doing so.	0
3118	6182	6183	What happens if a person overdoses on melatonin?	What happens to a person who overdoses on vitamin B?	0
3119	6184	6185	What is the difference between angle of incidence and angle of reflection?	What is the difference between angle of incidence and critical angle?	0
3120	6186	6187	What is the life history of Sundar Pichai?	Why is Sundar Pichai not married?	0
3121	6188	6189	What is the best GPS and Glonass satellite system?	Which is the most accurate satellite navigation system: GPS, GLONASS, Galileo, BeiDou, qzss, irnss NAVIC, …?	0
3122	6190	6191	Can you earn money from an affiliate adult content website?	How do bloggers earn money?	0
3123	6192	6193	How can I watch uncensored footage from nature documentaries?	What are the best World War II documentaries?	0
3124	1039	6194	Is it healthy to eat one chicken every day?	Is it healthy to eat bread every day?	1
3125	6195	6196	In what ways are difference quotients and slopes related?	Why do entrepreneurs need to be resilient?	0
3126	6197	6198	What does a user see when he/she gets a new message on Instagram?	Can users see when they get messages in their Instagram?	0
3127	6199	6200	What happens if a jealous acquaintance reports an inappropriate social media post to a recruiter you applied with?	If you’re planning a vacation and will be out of touch and not able to get online for a week, what tools would you use to ensure social media updates are being posted?	0
3128	6201	6202	How does having sex feel for the first time?	What did it feel like when you first had sex?	1
3129	6203	6204	Does DNA change during the life?	Does DNA change when growing up from baby to adult?	1
3130	6205	6206	What were the best movies of 2014? Why?	What are some of the best movies of 2014?	1
3131	6207	6208	What is the weirdest dream you've had?	What is your weirdest dream you remember?	1
3132	6209	6210	Who was the most powerful king in the history of India?	Who was the most powerful king in the history of India? Why?	1
3133	6211	6212	How is blade commerce controlled in Vermont compared to Connecticut under the knife legislation?	How is blade commerce controlled in Vermont compared to Nebraska under the knife legislation?	0
3134	6213	6214	How prevalent was sexual harassment in 1960's & 1970's offices?	Has America gone back to the 1960's and 70's politically?	0
3135	6215	6216	What are some good experiment with family?	What are the best experiences?	0
3136	6217	6218	Are there any RSS readers that pull comments?	Are there any RSS readers for OS X that pull comments?	0
3137	6219	6220	Is it weird for me to consider the wearing of a hijab by women to be sexually attractive and sexually arousing?	Do Muslim women have to wear a jilbab? Is it possible to wear wide pants, and a long-sleeved thick shirt with a hijab?	0
3138	6221	6222	How can I deal with depression and low self-esteem?	What should I do to get rid of my anxiety and my low self-esteem?	1
3139	6223	6224	How is the procentual difference between 4% and 3%?	What is the procentual difference between 4% and 3%? What is the formula to calculate?	1
3140	6225	6226	How do I change the font style on the HTC Desire 816g?	How can I change the font style in htc desire 816g?	1
3141	6227	6228	What is the difference between analytical analysis and simulation?	What is the difference between global maximum and minimum temperature for simulation and analysis purpose in ANSYS?	0
3142	6229	6230	Is it bad if I tell my boss I don't want to get paid?	What would happen if I was working and said to my boss I don't want to get paid?	1
3143	6231	6232	Where should I stay in Munnar?	What are the best places to stay in munnar?	1
3144	6233	6234	What do you make of this Game of Thrones theory?	How can I order goods from U.S.A and where do I find them in bulks…for example something like Alibaba?	0
3145	6235	6236	What is the legal age for sexual consent in India?	What is the age of consent in India?	0
3146	6237	6238	What systems software can run domestic debit card without banks?	If a man is a single father in Russia would he be looked down on?	0
3147	6239	6240	What online grocery/food delivery services accept EBT cards/food stamps?	Can you use EBT cards at Costco or Sam's Club?	0
3148	6241	6242	How do I overcome my inferiority complex ?	How do I overcome my inferiority complex?	0
3149	6243	6244	Which grand theft auto is your favourite?	What is the best Grand Theft Auto?	1
3150	6245	6246	Will Pakistan destroy India?	How is Pakistan destroying India?	0
3151	6247	6248	Do people find dimples attractive?	Why are dimples such a cherished trait?	1
3152	6249	6250	Where is Bhutan?	What is Bhutan?	0
3153	6251	6252	How YouTube pay?	When can Youtube pay?	0
3154	6253	6254	How can I observe like Sherlock Holmes?	How can I think like Sherlock Holmes?	1
3155	6255	6256	Future of Work: Will machines replace humans?	When will robots take people's jobs? Is it expected to happen overnight or will it take a while?	0
3156	6257	6258	Does Putin like Hillary Clinton?	Why should one vote for Hillary Clinton in the 2016 presidential election?	0
3157	6259	6260	Is sexstorian.com safe?	Is zerocensorship.com safe?	0
3158	6261	6262	I forgot my password and the email address I used to create my Snapchat account. How can I log in or at least change my email address or password?	How do I delete an account on instagram if I can't remember the password or email?	0
3159	6263	6264	What is the best time to book a Caribbean trip?	When is best time to book carribian trip?	1
3160	6265	1273	What do you think of Supreme Court's decision of playing National Anthem in all cinemas?	What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?	1
3161	6266	6267	Why did Harry Potter name his daughter after Luna Lovegood?	What happened to Luna Lovegood after Book 7?	0
3162	6268	6269	Which is better AMD radeon r5 m335 4GB or Nvidia Geforce 940m 4GB graphic card for gaming?	Which is better AMD radeon r5 m335 4GB or Nvidia Geforce 940m 4GB graphic card for laptops?	0
3163	6270	6271	What is the solution to this puzzle?	If you choose an answer to this question at random, what is the chance you will be correct? (A) 25% (B) 50% (C) 60% (D) 25%	0
3164	6272	6273	What will be the effect in Stock market after the Indian Government's decision to demonitize 500 and 1000 rupee notes?	What will be the effect on share market after the banning of 500 and 1000 notes?	1
3165	6274	6275	What do you think of PM's decision on the banning of 500 and 100 rupee notes?	What do you think of the decision by the Indian government to demonetize 500 and 1000 rupee notes?	1
3166	6276	6277	How do I impress the boss's boss?	How do I impress my boss's boss?	1
3167	6278	6279	What's the worst thing someone has done to you?	What is the worst thing that someone has done to you and how do you feel about it now?	1
3168	6280	6281	My face has gained a lot of fat .How do I reduce it?	What is the best way to reduce face fat?	1
3169	6282	6283	If I apply in a company for the post of Business analyst or Data analyst, will I be asked for any SQL or VBA certification?	Is there a need of SQL and VBA certification for applying for business analyst post?	1
3170	6284	6285	What are the legal separation laws in PA and how do they compare with the ones in Washington?	What are the legal separation laws in PA and how do they compare with the ones in Indiana?	0
3171	6286	6287	What is local viable in java?	What are the advantages of adopting a child?	0
3172	6288	6289	How do I fold both rear-seats & one of the front seats in Maruti Swift Diesel Vdi 2014 model?	What is best seat color for grey swift?	0
3173	6290	6291	What books should read?	What books should one read?	1
3174	6292	6293	What is Ali Garh Trusteeship bill?	Were Jawaharlal Nehru and Muhammad Ali Jinnah brothers?	0
3175	6294	6295	Why are you not talking to me?	Why does he not talk to me?	0
3176	6296	6297	I forgot my Tata Photon password. How can I get back?	I have a Tata Photon modem but I forgot its password. How can I it get back? Model: EC156 MEID to know me	0
3177	6298	6299	What is the relative permeability of steel?	What is the relative permeability of silicon steel?	0
3178	6300	6301	What are some must have softwares for students?	"What are some ""must-have"" software?"	0
3179	6302	6303	Can a Lightsaber cut through Adamantium?	Can a lightsaber cut through Superman?	0
3180	6304	6305	Which is correct: each of you is  or  each of you are?	"""I am sorry"" vs ""excuse me"": When should each be used?"	0
3181	6306	6307	Who is the better candidate for being the President of the United States of America: Hillary Clinton or Donald Trump?	In what aspects is Hillary Clinton better than Trump?	1
3182	6308	6309	Why did the Korean war happen?	Why did the Vietnam war happen?	0
3183	6310	6311	How do you run away as an adult?	How can I run away from Algeria?	0
3184	6312	6313	What do you think of the move by the govt to scrap 500 & 1000 rupee notes?	What are the possible implications of Demonetization of 500 and 1000 rupee notes?	1
3185	6314	6315	What is wrong in this c++ code?	What is wrong in my C++ code?	0
3186	6316	6317	What should I do if I haven't had my periods for almost four months now?	What can cause a woman's period to be late?	0
3187	6318	6319	How can Jammu & Kashmir issue be resolved?	What is the best political solution to the Kashmir conflict?	0
3188	6320	6321	Where can I watch Sherlock Season 4 online?	How can is see Sherlock Holmes season 4 online?	0
3189	6322	6323	What are the ways for enhancing practical knowledge and exposure for a CA student in the 2 months period after IPCC 1st group exam?	What are the stuffs to read to enhance the practical knowledge and exposure For a CA student?	0
3190	6324	6325	"What are some sentence examples using ""jejune""?"	"What are some sentence examples using ""satirical""?"	0
3191	6326	6327	What are sac fungi? What are some examples?	What are some fungi examples?	0
3192	6328	6329	Where can I download a cracked version of photoshop?	Where can I download a cracked version of Mathematica?	0
3193	6330	6331	What do you think of love?	What do you think of your first love?	0
3194	6332	6333	After a US President serves two four-year terms, can they run again after four to eight years being out of office?	How was FDR elected four times when the limit was two terms?	0
3195	6334	6335	Where in Hyderabad can I find karate classes for adult women?	Are there any female karate instructors in Hyderabad?	0
3196	6336	6337	Who is best lingerie online shopping store in India?	How can I find best online shopping stores in india?	0
3197	6338	6339	What will you do if you made a regretful decision in life?	"What should one do when your Manager comes up and says ,""If you don't do an MBA, you will regret it for the rest of your life""?"	0
3198	6340	6341	Is it me or is it harder to maintain friendships?	Why is it difficult to maintain friendships?	0
3199	6342	6343	What are crop tops?	What is crop top?	1
3200	6344	6345	Who killed more Iraqis: Saddam Hussein or George W. Bush?	Is George W. Bush more competent than Barack Obama? Why or why not?	0
3201	6346	6347	What role did Ireland have in World War II?	What role did Brazil play in World War II?	0
3202	6348	6349	Who owns this number 3152150252?	Who owns this number: 07904378172?	0
3203	6350	6351	What was the exact method by which Hubble discovered the red-shift of distant galaxies?	How do we know the bright spots in the HST Hubble Deep Field are galaxies and not stars?	0
3204	6352	6353	Which laptop is the most suitable with the following specs?	Which laptop is most suitable with the following specs?	0
3205	6354	6355	Can an IAS officer run a restaurant with the help of his spouse?	Can a person who is an IAS officer run their own bussiness?	0
3206	6356	6357	U.S. Presidential Elections: Would Trump beat Sanders if they were the nominees for President?	Could Trump beat Sanders in a general election?	1
3207	6358	6359	Which is the most long-lasting yonex shuttlecock for state level players?	How can a beginner tennis player win against a state level player?	0
3208	6360	6361	Which phone is better, XOLO or Micromax?	Toptal takes Your business/career to the next level, want to give it a try?	0
3209	6362	6363	What do you think about the death penalty?	What is the death penalty?	0
3210	6364	6365	What's it like to work at C1 Financial for your first job?	How can I create Jio id for jiofi device?	0
3211	6366	6367	How do delete Quora quesitons?	How do you delete a question on Quora?	1
3212	6368	6369	Is the reaction in the Universe which causes dark energy the outflow of a Universal black hole, causing the galxy clusters to accelerate away from us?	What is a good book which contains a huge knowledge about the universe, space, black holes, galaxies, etc. Any suggestions?	0
3213	6370	6371	What do people think about Muslims?	What do people all over the world think about Muslim?	1
3214	6372	6373	Why do young women sext older men?	Why do some women marry men a lot older?	0
3215	6374	6375	Where can I rent a PS4 in Bangalore?	Where can I rent PS4 games in Bangalore?	1
3216	6376	6377	What are the cutest animals?	What the cutest animal in the world?	1
3217	6378	6379	Why did Mahatma Gandhi not get Bharat Ratna or the Nobel Peace Prize?	Why Mahatma Gandhi didn't get Bharat Ratna?	1
3218	1977	6380	What would be a cool way to commit suicide?	What are the possible ways to commit suicide?	1
3219	6381	6382	What are some good tips while learning piano?	Can some one give me tips on learning piano?	1
3220	6383	6384	What's the 'Theory Of Everything' you believe in?	What is your theory of everything?	0
3221	6385	6386	Is having a dry throat related to diabetes?	How is throat dryness associated with diabetes?	1
3222	6387	6388	What's the body that governs sports in Denmark, and its (email) contact point?	What's the body that governs sports in Sweden, and its (email) contact point?	0
3223	6389	6390	What is an inexpensive tool to track email opens?	How can one track whether sent email was read?	0
3224	6391	6392	What is happiness?	What is happiness not?	0
3225	6393	6394	What app/website let's me use a security camera filter?	Which site(s) let you view live camera footage (ie security)?	0
3226	6395	6396	How should I start preparing for civil services exam?	How do I start preparation for civil services exams?	1
3227	6397	6398	How can I apply for a membership in the United Nations or other international organizations?	What is required for individual membership with the United Nations?	0
3228	6399	6400	What if mental illnesses didn't exist?	What is mental illness?	0
3229	6401	6402	What is the easiest way to live off the grid?	How is it living off the grid in India ?	0
3230	6403	6404	Is there any way of knowing if a guy is gay?	How do you find out whether a hot guy is gay?	1
3231	6405	6406	What is diff between national park, sanctuary and biosphere reserve?	What is the Kaziranga National Park?	0
3232	6407	6408	Is it right for a gay Christian to think that gay love is okay but gay sex is unacceptable?	What is it like to have gay sex, if you're not actually gay or bisexual?	0
3233	6409	6410	What are the pre-requisites for scikit-learn?	What do you think are the biggest flaws of the scikit-learn API?	0
3234	6411	6412	Was 2G spectrum scam bad for India?	What is the 2G spectrum scam in India about?	0
3235	6413	6414	What is crossing-over in meiosis?	What is the process of crossing over in meiosis?	1
3236	6415	6416	What is the most beautiful Linux distro?	Which Linux Distro is this?	0
3237	6417	6418	In Google Analytics, can I view traffic for a specific page?	In Google Analytics, how do I view traffic for a specific page?	1
3238	6419	6420	Who is/was the most underrated actor/actress in Bollywood?	Who are the most underrated actors and actresses in Bollywood?	1
3239	6421	6422	What is the Sahara, and how do the average temperatures there compare to the ones in the Antarctica?	What is the Sahara, and how do the average temperatures there compare to the ones in the Great Basin Desert?	1
3240	6423	6424	How would you know if a person was still into you?	How do you know if a person is lying?	0
3241	6425	6426	Who named earth?	Who in the Earth named Earth?	1
3242	6427	6428	What is the Bohr Rutherford diagram for calcium?	What is the Bohr Rutherford diagram for sodium?	0
3243	6429	6430	How many words does an average native English speaker know?	How many idioms does an average native English speaker know?	0
3244	6431	6432	What is the best app for photo and video editing?	What is the best app for video editing?	1
3245	6433	6434	Why is traveling relaxing?	Is there a way to bypass sleep?	0
3246	6435	6436	"If someone paid you $1 million to walk into a public area in Israel, do the Nazi salute and shout ""Heil Hitler,"" would you do it?"	"In Nazi Germany, was the greeting ""Heil Hitler"" used on an everyday basis, when entering the shop or meeting friends?"	0
3247	6437	6438	How should I earn money online working from home?	How can I make money online for job?	1
3248	6439	6440	How do I download free music?	Is there a platform where I can download free music?	1
3249	6441	6442	How do I test the AdWords Ad link externally (not from the system)?	How do I recover data from external harddrive whemn it is not responding in the system?	0
3250	6443	6444	How do I stop procrastination?	How should I avoid procrastination?	1
3251	6445	6446	What are some things women think about men that we probably don't know?	What are some things a man should know about women?	0
3252	6447	6448	"When will the BHI employees ""feel"" the effects of the merger?"	Did Marissa Mayer fail at turning Yahoo around?	0
3253	6449	6450	Which company offers good fire fighting equipments?	Which company offers good fire fighting tools?	1
3254	2204	6451	What are the strongest majors in terms of job prospects and what are the weakest majors at Eastern University?	What are the strongest majors in terms of job prospects and what are the weakest majors at Bradley University?	0
3255	6452	6453	How many stocks does Microsoft India give for each promotion/level jump?	Is Director and Principal same level in Microsoft?	0
3256	6454	6455	What are some dating sites that really work?	Do dating apps and sites really work?	1
3257	6456	6457	I am electronics & communication engineer. I am placed at wipro. Should I have take up any certification course?	Is it better to stick with a bachelor of dietetics or is it better to become a registered dietitian?	0
3258	6458	6459	How is the life of Sikhs and Hindus in Pakistan and Bangladesh?	How is the life of Hindus in Pakistan and Bangladesh?	0
3259	6460	6461	What is the best Final Fantasy game?	What are the best Final Fantasy games?	1
3260	6462	6463	What are some home remedy for dry skin?	What are some home remedies for oily skin?	0
3261	6464	6465	Is college really worth all the stress?	Is university really worth it?	1
3262	6466	6467	What are the salaries of IAS, IPS and IFS officers?	How do IAS/IPS/IFS/IES (other than railways) officers get their reservations on a train?	0
3263	6468	6469	Who will win IPL 2016?	Who will win IPL 2013?	0
3264	6470	6471	How do the tourist attractions on the Scandinavian Highlands compare to attractions in Switzerland?	How do the tourist attractions on the Scandinavian Highlands compare to attractions in Slovakia?	0
3265	6472	6473	What will be the future of LGBT in india?	What is the future of the LGBT community in India?	1
3266	6474	6475	How can I Transfer Music from iPhone to Mac without iTunes?	What is the best alternative to iTunes to transfer data between iPhone and PC without the need of iTunes?	1
3267	6476	6477	Can India become cashless?	How can India become cashless?	1
3268	6478	6479	How is the word 'ubiquitous' used in a sentence?	"How is the word ""ubiquitous"" used in a sentence?"	1
3269	6480	6481	What is your New Year’s Resolution(s) for 2017?	What can be my new year resolution for 2017?	1
3270	6482	6483	What was it like to work with Satya Nadella?	How is it to work with Satya Nadella?	1
3271	6484	6485	How do I learn strumming on a guitar?	How do I learn strumming on the guitar?	1
3272	6486	6487	"How do you define ""human being?"""	"How would you define the ""human being""?"	1
